family_id,n,k,family,seed,planted_mask,alpha_target,alpha,m,n_solutions,beta0,beta1,beta2,skeleton_beta1,cubical_beta1,fill_gap,girth,truncated,n_edges,n_faces,n_cubes,built_dim,total_ms
8,14,3,uniform,1007,,1.0,1.0,14,2654,1,9234,,9234,,,,True,11887,0,0,1,73.50349999978789
8,14,3,uniform,1007,,1.25,1.2857142857142858,18,1625,1,1,0,4905,1,4904,,False,6529,10848,9623,3,1572.3044000005757
8,14,3,uniform,1007,,1.5,1.5,21,1289,1,1,0,3537,1,3536,,False,4825,7364,5919,3,640.2569999991101
8,14,3,uniform,1007,,1.6,1.5714285714285714,22,951,1,1,0,2284,1,2283,,False,3234,4339,2922,3,212.6693999998679
8,14,3,uniform,1007,,1.7,1.7142857142857142,24,779,1,1,0,1724,1,1723,4,False,2502,3152,1987,3,128.67109999933746
8,14,3,uniform,1007,,1.8,1.7857142857142858,25,655,1,2,0,1325,2,1323,4,False,1979,2320,1340,3,103.13830000086455
8,14,3,uniform,1007,,1.9,1.9285714285714286,27,549,2,1,0,1056,1,1055,4,False,1603,1844,1069,3,92.6368000000366
8,14,3,uniform,1007,,2.0,2.0,28,546,2,1,0,1049,1,1048,4,False,1593,1834,1066,3,119.04529999992519
8,14,3,uniform,1007,,2.1,2.0714285714285716,29,534,2,1,0,1032,1,1031,4,False,1564,1811,1060,3,101.6754000011133
8,14,3,uniform,1007,,2.2,2.2142857142857144,31,326,1,0,0,492,0,492,4,False,817,748,305,3,53.54810000062571
8,14,3,uniform,1007,,2.3,2.2857142857142856,32,276,2,0,0,397,0,397,4,False,671,592,231,3,52.17430000084278
8,14,3,uniform,1007,,2.4,2.4285714285714284,34,237,2,0,0,328,0,328,4,False,563,486,188,3,58.55450000126439
